source,target,tweetid,text,retweets,favourites,includesimage
Samuel Moyn,Peiresc,1420314718,"#aha2015 #s122 To ride herd over MLA superstars, as DL did, was no mean fit, but he demonstrated uses of historical analysis",0,1,FALSE
Seth Denbo,seth_denbo,1420314721,Next up @aaupresses ED Peter Berkery talking about the view from the Press side of things #aha2015 #123,0,0,FALSE
Erin Bartram,erin_bartram,1420314730,You know the walls in your hotel are thin when you think you got a Twitter notification but then realize it was in the next room #aha2015,0,2,FALSE
Audra J. Wolfe,ColdWarScience,1420314733,"Here's that NYT article on the dissertation embargo, with Berkery quote: http://www.nytimes.com/2013/07/29/business/media/historians-seek-a-delay-in-posting-dissertations.html?pagewanted=all&_r=0™__éÙ #AHA2015",0,4,TRUE
SHARP at AHA,SHARPatAHA,1420314748,Meredith McGill: how do we make book history relevant to various topical areas of historical study? #AHA2015,4,2,FALSE
Samuel Moyn,Peiresc,1420314754,"#aha2015 #s122 So he is not just a provocateur to hists but a plenipotentiary of the humanities, demonstrating why history matters elsewhere",0,0,FALSE
Trip Kirkpatrick,triplingual,1420314777,#s149 #AHA2015 Atlas was disclaimed as not a history. Allowed more extensive work on vizzes.,0,0,FALSE
Samuel Moyn,Peiresc,1420314791,"#aha2015 #s122 Jay gives elegant, generous, precise, and lovely exposition as always",0,0,FALSE
Ethan Kleinberg,ekleinberg,1420314793,#AHA2015 #s122  LaCapra is incredibly adept at theory/criticism but and advocate for history and a deep dialogical engagement with the past.,0,0,FALSE
Stuart Schrader,stschrader1,1420314807,Cool to see @GregGrandin shout out @ProfJLMorgan in the NY Times. Two inspiring thinkers! http://mobile.nytimes.com/2015/01/04/books/review/a-tale-of-two-plantations-by-richard-s-dunn.html™__éÙ #twitterstorians #AHA2015,0,3,TRUE
Stephanie Richmond,profrichmond,1420314815,"Stories of individuals get lost in overarching narratives of colonial racism, especially those who were successful #AHA2015",2,1,FALSE
Vanessa Varin,VLVarin,1420314819,Berkery Jr- univ press monographs no longer sell at bookstores. Competing not with other books but other leisure activities #s123 #aha2015,0,1,FALSE
A_D_Medievalist,ADMedievalist,1420314820,Listening to my boss talk about his stuff. Have never heard him give a talk before. He's so damned relaxed. #AHA2015 #Twitterstorians,0,0,FALSE
Ethan Kleinberg,ekleinberg,1420314825,#AHA2015 #s122 Gaby Spiegel re-read ALL of Lacapra over the summer!,0,1,FALSE
SHARP at AHA,SHARPatAHA,1420314826,McGill: Wants to emphasize the historicity of the literary. #AHA2015,1,0,FALSE
Audra J. Wolfe,ColdWarScience,1420314834,"AAUP and AHA are 100% on same page, though, about stresses on the academic monograph, but doesn't see OA as primary cause. #AHA2015",0,2,FALSE
Samuel Moyn,Peiresc,1420314837,#aha2015 #s122 Now up - Gabrielle Spiegel,0,0,FALSE
Samuel Moyn,Peiresc,1420314860,#aha2015 #s122 DL stimulated many to take up theories of language and broader questions of historiographical investigation and writing,0,0,FALSE
Monica L. Mercado,monicalmercado,1420314869,"ok, ok, ok: between ACHA and @SHARPatAHA I'm ready to get back to work on my #wmnhist & Catholic publishing research #amwritingsoon #AHA2015",2,5,FALSE
Ethan Kleinberg,ekleinberg,1420314873,#AHA2015 #s122 Spiegel will engage LaCapra's use of psychoanalysis and trauma.,0,0,FALSE
Christian James,cscottjames,1420314874,at the food history panel at #aha2015 and this forthcoming What America Ate project sounds like it will be amazing,0,0,FALSE
Seth Denbo,seth_denbo,1420314881,More background on disseration issue. Overview from Peter Berkery about the stresses that academic publishing is under. #s123 #aha2015,1,1,FALSE
James Graham Wilson,jamesgramwilson,1420314882,Hal Brands in #s141: those interested in nuclear proliferation should start with recent h-diplo roundtable #aha2015 https://networks.h-net.org/node/28443/discussions/31776/h-diploissf-forum-%E2%80%9Cwhat-we-talk-about-when-we-talk-about-nuclear™__éÙ,2,2,FALSE
Samuel Moyn,Peiresc,1420314882,"#aha2015 #s122 DL often identified as adherent of deconstruction, but rereading him shows the limits of these labels",0,0,FALSE
Vanessa Varin,VLVarin,1420314891,Michael Hattem up now @MichaelHattem  #s123 #aha2015,0,0,FALSE
Christy Thornton,llchristyll,1420314892,#aha2015 MARHO panel: Leelah Dallasheh talks about 'presenting' those who have been 'absented' in both the historiography & the state,0,0,FALSE
Audra J. Wolfe,ColdWarScience,1420314906,@jcohencole Huge problem is slashed book buying budget b/c of exorbitant journal subscription prices.  #AHA2015,0,1,TRUE
J.M. Wasko,jmwasko,1420314907,"Foner's experience in legal cases as expert showed problems with historians' attempts to be ""too instrumental"" #AHA2015 #s130",0,1,FALSE
A_D_Medievalist,ADMedievalist,1420314910,"If anybody wants to join me for a drink later to hear how NOT to work with charters, let me know #AHA2015",1,0,FALSE
Joshua Nadel,jhnadel,1420314914,competing variations of Americanism often mistaken for anti-Americanism.@Politicultura #AHA2015,1,0,FALSE
Ethan Kleinberg,ekleinberg,1420314921,"#AHA2015 #s122   but wait...why does Spiegel shy away from LaCapra as advocate of ""Deconstruction"" as if this is a problem?",0,0,FALSE
Samuel Moyn,Peiresc,1420314926,"#aha2015 #s122 He situated himself with care, + there were two dominant strands-questions of method, and questions of substance: trauma, etc",0,0,FALSE
SHARP at AHA,SHARPatAHA,1420314937,Jonathan Rose just started speaking. #aha2015,1,0,FALSE
Deirdre Joyce,defjoy,1420314945,".@csnesbit ""narrative driven visualization not suited to current funding cycle."" #AHA2015 #s149",0,0,FALSE
Samuel Moyn,Peiresc,1420314951,#aha2015 #s122 Key turning point: UCLA conference organized by Saul Friedl_ınder on the Holocaust and its implications for historiography,1,0,FALSE
melanie,melanienewport,1420314955,"Julian Hayter: blacks voted before the VRA, and ""the VRA was like throwing Miracle-Gro on the south's character flaws"" #AHA2015 #s146",0,0,FALSE
Ethan Kleinberg,ekleinberg,1420314956,"#AHA2015 #s122 Instead, Spiegel wants to focus on trauma, the holocaust and psychohistorical mechanisms.  OK",0,0,FALSE
Vanessa Varin,VLVarin,1420314962,Hattem: here to give the graduate students perspective @MichaelHattem  #s123 #aha2015,0,0,FALSE
Micki Kaufman,MickiKaufman,1420314963,#s149 #aha2015 Traditional hist argumentation means poss. unrealistic expectations of vis - they don_éìt easily convey fully-formed arguments.,1,0,FALSE
Jane Carr,janegreenway,1420314967,"E. Foner on public int. work: ranks exhibition curating > court testimony & briefs. Says, ""know which hat you're wearing."" #s130 #AHA2015",1,4,FALSE
Grainne McEvoy,GrainneMcEvoy,1420314972,"Taking a break from #AHA2015 to see Chinese American exhibit @NYHistory, in the good company of @hidehirota pic.twitter.com/zpHbaVdiRB",0,3,TRUE
Laura Auricchio,Auricchio_Laura,1420314984,Great #AHA2015 Digital history projects here: http://www.historians.org/annual-meeting/resources-and-guides/digital-history-at-the-annual-meeting/digital-history-lightning-rounds/digital-projects-lightning-round-participants™__éÙ,0,0,FALSE
Ian Hesketh,IanHesketh,1420314985,Jay: Looking backward in an anticipatory manner has been central to LaCapra's uncomfortable approach to intellectual history #s122 #AHA2015,1,0,FALSE
Seth Denbo,seth_denbo,1420314988,A grad student_éìs perspective on the dissertation embargo question from @MichaelHattem #aha2015 #s123,0,1,FALSE
Ray,Oboro85,1420315002,#Aha2015 too many laptop changes btw presentations. Kinda funny to watch,0,0,FALSE
Vanessa Varin,VLVarin,1420315020,Hattem: firmly believe that students deserve a choice. @MichaelHattem  #s123 #aha2015,0,0,FALSE
Samuel Moyn,Peiresc,1420315025,#aha2015 #s122 His attitude to text/context rejected formalism (Hayden White) as well as social history (texts as symptoms),0,1,FALSE
J.M. Wasko,jmwasko,1420315027,"He's also ""given up"" on documentaries of the Civil War coming to fruitful and accurate conclusions #AHA2015 #s130",0,2,TRUE
susan garfinkel,footnotesrising,1420315029,"wish i could be at 4+ sessions right now--this is not the aha of grad school days. thanks for broadening w/ public, digital etc. #AHA2015",5,3,FALSE
Marla Miller,MarlaAtUmass,1420315035,"@princss6 @JourSouHist Here is more re @Katie_C_Knowles' work, plus a helpful link: http://www.pinkisforboys.org/blog/slave-clothing-and-gender™__éÙ #AHA2015 #CCWH4",0,1,TRUE
Elaine Parsons,ProfEFP,1420315040,Kidada Williams: what was the impact of lynching on victims' families? Why don't historians ask this question? #AHA2015 #twitterstorians,8,2,FALSE
Samuel Moyn,Peiresc,1420315043,"#aha2015 #s122 Texts couldn't be reduced to contexts, and contexts were themselves texts",0,1,FALSE
A_D_Medievalist,ADMedievalist,1420315045,Milk-soaked dates. Ick. Says the medievalist who grew up near a place famous for date milkshakes. #AHA2015,0,0,FALSE
Audra J. Wolfe,ColdWarScience,1420315050,"Now Hattam, a graduate student at Yale, who was also quoted in that NYT article defending the embargo. #AHA2015",0,1,FALSE
Samuel Moyn,Peiresc,1420315062,#aha2015 #s122 Texts engage in processes that challenge and change contexts -- and their much later readers,0,0,FALSE
Ray,Oboro85,1420315065,Data re-visualization is an important historical feature- reinterpreting historical sources on light of the data - interesting #aha2015,1,0,FALSE
SHARP at AHA,SHARPatAHA,1420315076,Jonathan Rose explaining how book history can enrich political studies. #AHA2015 pic.twitter.com/r81DIw9cmz,0,1,TRUE
Trip Kirkpatrick,triplingual,1420315079,"Wonderful, welcoming lunch, including @jmjafrx @adelinekoh @Jessifer  @scott_bot @ProfessMoravec @KidadaEWilliams #AHA2015",1,5,FALSE
Stephanie Richmond,profrichmond,1420315081,Growth of British recruitment pool in 1880s changes colonial service makeup in Lagos #AHA2015,0,1,FALSE
Ethan Kleinberg,ekleinberg,1420315081,#AHA2015 #s122 Spiegel: for LaCapra texts not only exemplify discursive practices but also show moments of instantiation and contestation.,0,0,FALSE
Samuel Moyn,Peiresc,1420315082,#aha2015 #s122 Formal analysis is crucial to avoid reduction of texts to symptoms of prior contexts,1,1,FALSE
Vanessa Varin,VLVarin,1420315085,"Hattem: while the statement relied on anecdotal evidence, but there seems to be enough to warrant @MichaelHattem  #s123 #aha2015",0,0,FALSE
Patrick Iber,PatrickIber,1420315097,"Honestly reading people live tweeting #AHA2015 is a lot more efficient, and I am in the hotel",5,11,FALSE
Trip Kirkpatrick,triplingual,1420315113,Y_éìall know how to make a non-ac techie feel like there_éìs room here. <3 #AHA2015,0,0,FALSE
Trip Kirkpatrick,triplingual,1420315126,#s149 #AHA2015 Now: @benmschmidt Seeing Anew: Humanistic Approaches to Data Visualization https://aha.confex.com/aha/2015/webprogram/Paper17566.html™__éÙ,2,0,FALSE
Samuel Moyn,Peiresc,1420315126,#aha2015 #s122 Intellectual history operates at the crossroads of the documentary - texts are documents - and the critical power of texts,0,1,FALSE
Patrick Murray-John,patrick_mj,1420315132,Hard to keep up following the good stuff at #AHA2015 from afar.  Wish I were there!,0,0,FALSE
Audra J. Wolfe,ColdWarScience,1420315136,"Sorry, Hattem. He's coming at issue from idea of protection: no one should be *compelled* to make dissertation open access. #AHA2015",0,1,FALSE
Micki Kaufman,MickiKaufman,1420315136,#s149 #aha2015,,,
Samuel Moyn,Peiresc,1420315150,#aha2015 #s122 Spiegel: Events have the same density and contradictoriness as texts,0,0,FALSE
Kristen Ziller,wavinglibrarian,1420315157,Putting finishing touches on our presentation for tomorrow. K12 #ancestry research - 9-11:00 Empire Ballroom #AHA2015 pic.twitter.com/2XALBB2Ni8,0,0,TRUE
Elaine Parsons,ProfEFP,1420315161,"Williams: we need to engage w the full personhood of lynching victims, including their family connections. #aha2015  #twitterstorians",3,2,FALSE
Vanessa Varin,VLVarin,1420315174,Hattem: the realist in me does not want to do anything to diminish my chances (at getting a TT job) @MichaelHattem  #s123 #aha2015,0,0,FALSE
Trip Kirkpatrick,triplingual,1420315178,"#s149 #AHA2015 [Fab to start off viz talk with a virtually indecipherable viz! No, really. (That is, completely ciphered.)]",0,0,FALSE
SHARP at AHA,SHARPatAHA,1420315193,We're currently tweeting what's going on at the @sharporg affiliate panel. #AHA2015,0,0,FALSE
Mitch Fraas,MitchFraas,1420315201,One of my favorite historical visualizations - full stop. By @benmschmidt http://sappingattention.blogspot.com/2012/11/reading-digital-sources-case-study-in.html™__éÙ #s149 #AHA2015 pic.twitter.com/jtu6SVHKP3,0,18,TRUE
Mark Tebeau,urbanhumanist,1420315201,"Love to watch the #aha2015 twitter feed, as I listen to panelists_éÙ creates a sort of pleasant divided attention.",0,0,FALSE
Trip Kirkpatrick,triplingual,1420315222,"#s149 #AHA2015 Vague echoes of @laurenfklein_éìs work on historicization of dataviz, both _é£good_éó and _é£bad_éó viz.",0,0,FALSE
Samuel Moyn,Peiresc,1420315225,#aha2015 #s122 DL insisted on inherent complexity of texts (Bakhtin not just deconstruction) so focused on inner tensions of each,0,0,FALSE
Jason Steinhauer,JasonSteinhauer,1420315235,Speaker suggests historic houses stop being about history in order to stay relevant. So I guess they'd just be houses.  #AHA2015,8,2,FALSE
Deirdre Joyce,defjoy,1420315236,Towards a historiography of data viz... #s149 #AHA2015,0,0,FALSE
Kyle B Roberts,kylebroberts,1420315246,Jonathan Rose shares rich examples of how might write a literary history of politics through book history.   #AHA2015,1,2,FALSE
SHARP at AHA,SHARPatAHA,1420315257,Rose talking about how book historians engaged with Rachel Carson's Silent Spring. #AHA2015,1,0,FALSE
Lavanya Vemsani,Indicaworld,1420315259,#AHA2015 looking forward to Gulabi Gang tomorrow!,0,0,FALSE
Steve Anderson,sgahistory,1420315264,data _é£re_éó-visualization - using older data sets and reimagining them for better historical impact @benmschmidt #s149 #AHA2015,3,1,FALSE
Samuel Moyn,Peiresc,1420315271,"#aha2015 #s122 The supplement to documentary reflection is ""worklike"" transformation--one marks differences, the other makes difference",0,0,FALSE
Audra J. Wolfe,ColdWarScience,1420315274,".@MichaelHattem rightly says that class issues have been overlooked in this discussion. Issue abt ownership, livelihood. #AHA2015",2,3,FALSE
Ethan Kleinberg,ekleinberg,1420315275,"#AHA2015 #s122 Spiegel: LaCapra rejects a ""middle ground"" btwn text and contxt because of inner tensions w/in the txt/productive resistance",0,1,FALSE
Ian Hesketh,IanHesketh,1420315283,Gabrielle Spiegel argues that LaCapra's understanding of the text owes as much to Bakhtin as to poststructuralism #122 #AHA2015,0,1,FALSE
Trip Kirkpatrick,triplingual,1420315294,#s149 #AHA2015 Vizzing can give insight into what the state knows about what_éìs where.,0,0,FALSE
Elaine Parsons,ProfEFP,1420315297,We should not rely only on artistic texts for black experiences of lynchings. #aha2015 #twitterstorians,0,1,FALSE
Seth Denbo,seth_denbo,1420315298,#s123 @MichaelHattem on blindness to class that has often characterized this debate. Grad students vulnerable members of community. #aha2015,1,0,FALSE
Stephanie A Kingsley,KingsleySteph,1420315301,"#AHA2015  #bookhistory @SHARPorg Now talking about the books John F Kennedy read. Rachel Carson_éìs Silent Spring, for instance.",3,0,FALSE
Vanessa Varin,VLVarin,1420315302,"Hattem : many academics debating an ideal, while graduate students discussing the policy @MichaelHattem  #s123 #aha2015",1,0,FALSE
Micki Kaufman,MickiKaufman,1420315312,"#s149 #aha2015 @benmschmidt  the _éïgolden age_éì of vis (pre-MIcrosoft) never happened. Before computers, data vis'ers made bad decisions too.",2,4,FALSE
J.M. Wasko,jmwasko,1420315314,"Foner: In the end, historians don't have to step outside of the ivory tower to affect the public. #AHA2015 #s130",1,5,FALSE
Jennifer Serventi,JenServenti,1420315322,"#AHA2015 Staffing the NEH table right now, but (in between talking about our programs), following the Twitterstream. Thank you, tweeters.",1,6,FALSE
Samuel Moyn,Peiresc,1420315328,"#aha2015 #s122 Twenty years later he insisted history combines objectivism and dialogue, with close reading at the core of intellectual hist",0,0,FALSE
Steve Anderson,sgahistory,1420315359,_é£ghost shipping paths_éó http://benschmidt.org/maps-visualizations-gallery/™__éÙ @benmschmidt #s149 #AHA2015 pic.twitter.com/IuIaEkSTRy,0,0,TRUE
Samuel Moyn,Peiresc,1420315365,"#aha2015 #s122 Spiegel: DL defended objectivity, loyalty to the object of study, rather than positivism -- when texts are our objects",0,0,FALSE
Ethan Kleinberg,ekleinberg,1420315369,"#AHA2015 #s122  Spiegel says that LaCapra's approach is ""critical"" and not constructivist or deconstructivist.",0,1,FALSE
Kathryn Tomasek,KathrynTomasek,1420315387,.@benmschmidt shows 19th c source's effort at data vis. as instructive re: fantasies of golden era before bad software. #AHA2015 #s149,4,6,FALSE
Samuel Moyn,Peiresc,1420315402,#aha2015 #s122 Turn to the Holocaust -- embodiment of traumatic past -- nonetheless altered his trajectory mid-career,1,1,FALSE
Trip Kirkpatrick,triplingual,1420315404,"#s149 #AHA2015 Vizzing can speak to how data-gathering entities (corps, states[, NGOs?]) look at geography, control.",1,2,FALSE
Ray,Oboro85,1420315407,Very hard to read... Visualization panel #aha2015 pic.twitter.com/arAC1bEsVX,0,0,TRUE
Elaine Parsons,ProfEFP,1420315410,Williams: How do people today deploy this history and imagery of lynching as cultural tools? #aha2015 #twitterstorians,0,1,FALSE
Ian Hesketh,IanHesketh,1420315410,Spiegel: LaCapra's fundamental approach is a critical dialogue between text and context #s122 #AHA2015,0,0,FALSE
Miriam Martin,miriamrmartin2,1420315410,53rd ave link between #sheraton and #hilton not open. Must use main entrances. Not fun #AHA2015,0,1,FALSE
Jessica M. Johnson,jmjafrx,1420315432,Great panel. Thank you to my co-conspirator @drvholden for everything. Can't wait to keep building in 2015! #aha2015 @queeringslavery,2,1,FALSE
Ethan Kleinberg,ekleinberg,1420315434,"#AHA2015 #s122 Spiegel will explore LaCapra's interest in the Holocaust after ""Probing the Limits if Representation"" conference at UCLA.",0,0,FALSE
Ivis Bohlen,ivisbohlen,1420315452,UNC Press is here! Find us in the front booth farthest to the right as you enter the #aha2015 book exhibit. pic.twitter.com/HgyuV8nwHq,0,3,TRUE
Eric LaForest,Eric_LaForest,1420315459,"This map has been indispensable at #AHA2015, though it ought to include the great @pushcartcoffee in Chelsea http://www.nytimes.com/interactive/2014/05/06/dining/101-places-to-get-good-coffee-in-new-york.html™__éÙ",0,1,TRUE
Samuel Moyn,Peiresc,1420315465,#aha2015 #s122 Where LaCapra's attention to Holocaust becomes tricky: insistence of specific notice of historian's transference,0,2,FALSE
Trip Kirkpatrick,triplingual,1420315493,"#s149 #AHA2015 Referring back to Turner, _é£The most famous paper ever given at the AHA._éó [chuckles all round}",3,2,FALSE
Samuel Moyn,Peiresc,1420315493,#aha2015 #s122 Commitment to transferential analysis binds together the two parts of his career,0,0,FALSE
Vanessa Varin,VLVarin,1420315500,Next up Jackie Jones #s123 #aha2015,0,0,FALSE
Audra J. Wolfe,ColdWarScience,1420315500,"I hear @michaelhattem 's concerns re: ownership, but fail to see what it has to do with getting a book contract. #AHA2015",0,1,FALSE
Ethan Kleinberg,ekleinberg,1420315508,"#AHA2015 #s122  Spiegel believes that is concept of ""transference"" that is the key to LaCapra's work over the last 20 years.",0,1,FALSE
Ian Milligan,ianmilligan1,1420315516,.@benschmidt using dataviz to show how gov'ts saw world. ie. this deck from Soviet weather data w/ grids. #AHA2015 http://1.bp.blogspot.com/--XVSnEZ49rY/Uzl_eQNInGI/AAAAAAAAEVw/_MND6pFoaVk/s1600/735-closeup.png™__éÙ,0,1,FALSE
Sarah Duggan,ChasingClaudiaK,1420315516,FYI _é£identity_éó is so 2008. The official Pantone academic buzzword of the year is _é£transnational_éó. #AHA2015,3,6,FALSE
Mark Tebeau,urbanhumanist,1420315517,"Use 6-1/2 Avenue to go from Hilton to Sheraton a new phenom, a so-called _é£private public space_éó #AHA2015 http://en.wikipedia.org/wiki/6%C2%BD_Avenue™__éÙ",2,1,FALSE
Jeff McClurken,jmcclurken,1420315524,"#AHA2015 #s149 @benmschmidt stresses not just visualizations, but the importance of re-visualizations.",1,5,FALSE
Jesse Stommel,Jessifer,1420315527,@triplingual @jmjafrx @adelinekoh @scott_bot @ProfessMoravec @KidadaEWilliams That lunch will be the highlight of my #AHA2015. :),0,1,TRUE
Jane Carr,janegreenway,1420315535,@PenielJoseph: my public intellectual work grew from native NYC youth activism. We do this work b/c real people are at risk. #s130 #AHA2015,3,2,FALSE
Shirley Samuels,SRSamuels,1420315536,"For @jsench. RT ""@KingsleySteph: #AHA2015 @SHARPorg session ""Practice of Book History"": wrote a blog post: http://bit.ly/1ApKVui™__éó",0,2,TRUE
Seth Denbo,seth_denbo,1420315543,"#aha2015 archive is now up to an amazing 6,500 tweets in 2 days. Keep on Tweeting!",4,11,FALSE
Elaine Parsons,ProfEFP,1420315544,"Williams: Different people reach for imagery of lynching for different reasons, often without thinking about victims' experience. #AHA2015",0,0,FALSE
Joshua Nadel,jhnadel,1420315564,US 1959 Pan Am Games shows failure of  US goodwill through sport. Instead Mex/Brazil become cultural centers. @Politicultura  #AHA2015,0,0,FALSE
Jennifer Guiliano,jenguiliano,1420315569,#s149 #AHA2015. Oh oklahoma.,0,0,FALSE
Adjunct Action,AdjunctAction,1420315572,Come for share wine and conversation on labor issues in #highered at 6:30pm Hilton Concourse D at #AHA2015,0,0,FALSE
Samuel Moyn,Peiresc,1420315572,"#aha2015 #s122 ""The way in which problems and processes in our objects are repeated in displaced form in our accounts of them.""",0,0,FALSE
Ian Hesketh,IanHesketh,1420315581,Spiegel: LaCapra's concept of 'transference' links together his work on historiography and the Holocaust #s122 #AHA2015,0,0,FALSE
J.M. Wasko,jmwasko,1420315587,"Further, good scholarship can create a ""just society,"" concludes Foner #AHA2015 #s130",0,1,TRUE
Samuel Moyn,Peiresc,1420315592,#aha2015 #s122 The past takes the place of patient and the historian of analyst,0,0,FALSE
Eileen Clancy,clancynewyork,1420315602,Scott Montgomery talking about copyists and the uncertainty they introduce in the history (of Euclid and science) #aha2015 #s147,0,0,FALSE
Ethan Kleinberg,ekleinberg,1420315607,#AHA2015 #s122 Spiegel: DL speaks of transferential relation between historian and the past that leads to a repetition of the trauma,1,0,FALSE
SHARP at AHA,SHARPatAHA,1420315610,Rose: Book historians should do more work on the history of public relations. #aha2015,2,0,FALSE
Audra J. Wolfe,ColdWarScience,1420315615,"And now Jackie Jones is making the argument about protection:  considers her dissertation ""raw,"" would have been embarrassing. #AHA2015",0,2,FALSE
Samuel Moyn,Peiresc,1420315619,#aha2015 #s122 This process threatens to engulf historian in an endless syndrome of melancholy,0,0,FALSE
Vanessa Varin,VLVarin,1420315626,"Jones- her own dissertation a ""raw"" piece of work that evolved into book #s123 #aha2015",0,0,FALSE
Ivis Bohlen,ivisbohlen,1420315641,@HumphreyBohun #aha2015 is the annual conference of the American Historical Association. Work related tweet!,0,0,TRUE
Roger Launius,Launiusr,1420315668,Hal Brands: historians need to be more theoretical in nuclear weapons studies; poly-sci needs to be more grounded in sources.  #AHA2015,0,1,FALSE
Ethan Kleinberg,ekleinberg,1420315673,#AHA2015 #s122 Spiegel takes issue with the possibility of transference of historical events from the written work to the historian.,0,1,FALSE
Shane Landrum,cliotropic,1420315679,Indiana University History Learning Project: http://www.iub.edu/~hlp/™_ advice for increasing learning in college history courses #AHA2015,1,0,FALSE
Audra J. Wolfe,ColdWarScience,1420315686,(An argument I don't like because it devalues the dissertation. Shouldn't we expect dissertations to not be embarrassing?) #AHA2015,0,2,FALSE
Fordham HGSA,FordhamHGSA,1420315686,"Fordham history PhDs at #AHA2015 RT @sal_cip: Excellent, excellent panel on soccer in Argentina. #AHA2015",0,0,TRUE
Samuel Moyn,Peiresc,1420315688,"#aha2015 #s122 Not identification with past actors, but empathy, which unsettles, but does not reproduce past in transference",0,1,FALSE
Christy Thornton,llchristyll,1420315694,"#AHA2015 MARHO Linda Gordon: historians responsible in 4 areas: public engagement, scholarly work, members of scholarly societies, teaching",0,1,FALSE
Shawn Graham,electricarchaeo,1420315696,"enjoying #s149 #aha2015 on historical viz, especially since class on viz starts on monday... #hist3907b, start reading tweets!",0,0,FALSE
Mark Tebeau,urbanhumanist,1420315717,Am thinking that #AHA2015 audiences are unfailingly polite! Even as they tweet. #twitterstorians,0,2,FALSE
Kait Burrier,Kait_at_CUP,1420315722,Everyone's loving our chopstick swag & proofs of Q. Edward Wang's Chopsticks: A Cultural & Culinary History #AHA2015 pic.twitter.com/Op7RvUMSD3,0,1,TRUE
Samuel Moyn,Peiresc,1420315723,#aha2015 #s122 All representations of the past are based on present engagement with it,1,1,FALSE
Trip Kirkpatrick,triplingual,1420315767,"Wasn_éìt able to find @drvholden handle earlier, so left her off the lunch thanks. Belated thanks! #AHA2015",0,0,FALSE
Micki Kaufman,MickiKaufman,1420315769,"#s149 #aha2015 @benmschmidt  the elimination of the frontier not by expansion, but by a redefinition of the map legend_éìs _éïsettled_éì segment.",2,2,FALSE
Ray,Oboro85,1420315790,"Ha--  ""r Kansas"" or Arkansas....  #AHA2015",0,0,FALSE
Audra J. Wolfe,ColdWarScience,1420315791,(Doesn't that argument reify impostor syndrome and extend infantilization of graduate students?) #AHA2015,0,5,FALSE
Ethan Kleinberg,ekleinberg,1420315793,#AHA2015 #s122  Spiegel asks how does one reenact something that one has not experienced?  She see this as a problem in DL's model,1,0,FALSE
Fordham HGSA,FordhamHGSA,1420315798,Fordham historian RT @CRWDietrich: Ready to hear some 1970s international history? See us at #AHA2015,0,0,TRUE
Jane Carr,janegreenway,1420315815,@PenielJoseph offering riveting explanation of how democracy & black radicalism are at heart of public intellectual work. #s130 #AHA2015,3,4,FALSE
Vanessa Varin,VLVarin,1420315816,Jones- many students unprepared to make embargoing decision during a stressful period #s123 #aha2015,1,0,FALSE
Trip Kirkpatrick,triplingual,1420315818,"#s149 #AHA2015 Frontier line existed in 1890 according to census bureau, not in 1900. Motivated by immigration restrictionists.",1,0,FALSE
Samuel Moyn,Peiresc,1420315834,"#aha2015 #s122 Spiegel challenges notion of transference with Holocaust past -most work under injunction ""Never forget what you can't know.""",1,1,FALSE
Audra J. Wolfe,ColdWarScience,1420315835,(And can't we instead educate our colleagues to not expect dissertations to be as good as books?) #AHA2015,0,1,FALSE
Vanessa Varin,VLVarin,1420315841,Jones- are anecdotes the way to sort out this issue? Yes they are #s123 #aha2015,0,0,FALSE
Seth Denbo,seth_denbo,1420315859,Jackie Jones argues that her dissertation wasn_éìt ready for prime time & would_éìve hurt her career had it been openly available #s123 #aha2015,8,6,FALSE
Samuel Moyn,Peiresc,1420315859,"#aha2015 #s122 Citing Elie Wiesel, though Paul Celan reached similar insight about stuttering in silence",0,1,FALSE
Samuel Moyn,Peiresc,1420315883,"#aha2015 #s122 Not how to speak, but whether second generation has a right to speak about parents' experience",0,1,FALSE
Stephanie A Kingsley,KingsleySteph,1420315884,"#AHA2015 #bookhistory @SHARPorg now hearing Robert Scholnick_éìs talk on reception of Robert Chambers_éìs 1844 Vestiges, a work on evolution.",1,2,FALSE
Brandon Morgan,CNMBrandon,1420315898,Norman Jones: we need to consider organic nature of the curriculum; how does the course I'm teaching fit in the big picture #aha2015,0,0,FALSE
Jason Warren,lostinhistory,1420315902,I'm eating grilled cheese and soup while reading #AHA2015 tweets at my desk on a rainy Saturday. Good day for sure.,0,1,FALSE
Samuel Moyn,Peiresc,1420315905,#aha2015 #s122 Spiegel believes Derridean thought provoked by this post-Holocaust double bind,0,0,FALSE
Micki Kaufman,MickiKaufman,1420315909,"$s149 #aha2015 1900: elimination of frontier in census atlases reflect changed agenda (immigration reform), a premature demise @benmschmidt",0,0,TRUE
Trip Kirkpatrick,triplingual,1420315934,#s149 #AHA2015 @benmschmidt has revizzed maps to reflect Turner_éìs assertions as well as census data.,1,1,FALSE
J.M. Wasko,jmwasko,1420315936,So @PenielJoseph rules for bringing us to contemporary issues & believing history is only one weapon in arsenal of activism #AHA2015 #s130,0,2,FALSE
Samuel Moyn,Peiresc,1420315943,"#aha2015 #s122 But DL also considered structural trauma: original sin, separation anxiety, etc., as opposed to historical trauma",0,0,FALSE
SHARP at AHA,SHARPatAHA,1420315945,"Robert J. Scholnick is currently at bat. Explaining how he engages book history, history of science, etc. #aha2015 pic.twitter.com/uAKOSfXy2p",0,0,TRUE
